function,seed,status,portal_string,submission_score,mu_t,error_type,error_message
function_1,0,success,0.697536-0.696826,-5.320424456142302e-06,-3.402722916005674e-05,,
function_2,0,success,0.655421-0.937498,0.6222218537707302,0.5469557309353831,,
function_3,0,success,0.018360-0.998994-0.994857,-0.7864335237975265,-0.8977394906841925,,
function_4,0,success,0.375222-0.333804-0.403173-0.449577,0.24332904425399285,0.03703802420537272,,
function_5,0,success,0.035401-0.987111-0.999999-0.999999,12.555184546799122,12.425683535835317,,
function_6,0,success,0.928456-0.078665-0.147024-0.024960-0.764936,2.209627911831967,2.1272968060075583,,
function_7,0,success,0.041159-0.164349-0.440021-0.450250-0.073728-0.772208,0.9516869628852864,0.8873026921195042,,
function_8,0,success,0.044853-0.093376-0.106622-0.074901-0.854031-0.537553-0.000267-0.228840,9.073172608667816,9.067247092191101,,
