function,seed,status,portal_string,submission_score,mu_t,error_type,error_message
function_1,0,success,0.991764-0.987450,-0.0001968256089799879,-0.00020182560897998792,,
function_1,1,success,0.989285-0.987773,-0.00019682560755066104,-0.00020182560755066105,,
function_1,2,success,0.994292-0.991002,-0.0001968255849519232,-0.0002018255849519232,,
function_1,3,success,0.996502-0.982794,-0.00019682562346785915,-0.00020182562346785917,,
function_1,4,success,0.995024-0.978010,-0.00019682563251503124,-0.00020182563251503125,,
function_2,0,success,0.714380-0.911410,0.6835651291863368,0.6614662527101076,,
function_2,1,success,0.716316-0.902445,0.6854685181781797,0.6652929183672152,,
function_2,2,success,0.712375-0.903877,0.6860844321297961,0.6660364470065978,,
function_2,3,success,0.715356-0.895525,0.6872521389109852,0.669482203873277,,
function_2,4,success,0.715190-0.907872,0.6847392290856227,0.6633469540106987,,
function_3,0,success,0.963662-0.031843-0.674800,-1.1196069617350655,-1.4424115973699676,,
function_3,1,success,0.984019-0.016069-0.695856,-1.122600542711199,-1.4487074504022501,,
function_3,2,success,0.985219-0.001274-0.695463,-1.1226740685096348,-1.448763148842399,,
function_3,3,success,0.975847-0.027363-0.701200,-1.1208925487701402,-1.4464091482007346,,
function_3,4,success,0.965899-0.009053-0.807356,-1.0987382938880446,-1.430418298734974,,
function_4,0,success,0.372556-0.357420-0.381533-0.433495,0.3247081123956834,0.20173483925597946,,
function_4,1,success,0.409515-0.371620-0.367751-0.450508,0.32263023796237156,0.18467693284287634,,
function_4,2,success,0.351812-0.337461-0.361117-0.399129,0.04758624470021136,-0.10720378883938242,,
function_4,3,success,0.339495-0.368330-0.391883-0.424556,0.18584717778733778,0.06240990726889706,,
function_4,4,success,0.385075-0.420803-0.382508-0.392805,0.4008566584214907,0.2950112123826649,,
function_5,0,success,0.846158-0.720240-0.921202-0.984950,11.872051748132757,11.109573378672566,,
function_5,1,success,0.796298-0.759177-0.922926-0.993705,12.17415376223588,11.640869973835645,,
function_5,2,success,0.883524-0.740649-0.917358-0.995030,12.028262021633864,11.342946540060112,,
function_5,3,success,0.790886-0.749130-0.997545-0.978384,12.13302410692516,11.506210395223949,,
function_5,4,success,0.754751-0.996188-0.966542-0.967944,12.137391212219834,11.608280344607579,,
function_6,0,success,0.969756-0.913029-0.082323-0.049431-0.788690,1.7690009514652492,1.7464362627885643,,
function_6,1,success,0.983987-0.589416-0.160918-0.001617-0.727268,1.8380914304285088,1.8006111307187633,,
function_6,2,success,0.972981-0.361756-0.012917-0.002068-0.939636,1.8825947055043761,1.8676169797640956,,
function_6,3,success,0.992672-0.836520-0.011140-0.012029-0.351118,1.8242378876749874,1.7483790773809798,,
function_6,4,success,0.008713-0.855380-0.277822-0.000629-0.919289,1.7482171784814982,1.7229510483596755,,
function_7,0,success,0.381857-0.193273-0.770212-0.372422-0.090207-0.793736,0.854654323550676,0.7881179324809793,,
function_7,1,success,0.520570-0.112413-0.519203-0.556806-0.150852-0.762438,0.9391031029889555,0.6986817889864043,,
function_7,2,success,0.202197-0.259317-0.848828-0.626262-0.121596-0.769851,0.8342352637168489,0.7051250326672522,,
function_7,3,success,0.464008-0.110333-0.709651-0.652057-0.169395-0.812861,0.8528688631359991,0.7026970208513994,,
function_7,4,success,0.065773-0.098309-0.785027-0.147678-0.256246-0.791687,0.8805310616677235,0.8410480672555378,,
function_8,0,success,0.047766-0.000000-0.021247-0.000000-0.947118-0.544877-0.062553-0.334634,9.207801346002515,9.201624211023548,,
function_8,1,success,0.000000-0.000000-0.041534-0.000000-0.904740-0.552026-0.017597-0.311623,9.207188562402516,9.20087375998343,,
function_8,2,success,0.046675-0.000000-0.003636-0.032291-0.984044-0.535685-0.039453-0.180790,9.208536655319723,9.20251694324266,,
function_8,3,success,0.041077-0.000000-0.024842-0.077808-0.999999-0.529520-0.000000-0.054813,9.208421945077555,9.202493247670315,,
function_8,4,success,0.037359-0.000000-0.038142-0.038647-0.930064-0.527875-0.092872-0.225403,9.208169080125604,9.202262976747022,,
