function,n_seed_success,n_seed_fail,unique_suggestions,consensus_frequency,consensus_frequency_ratio,selected_portal_string,selected_seed,fallback_used,fit_attempt_distribution,selection_mode
function_1,5,0,5,1,0.2,0.757256-0.711151,2,False,"{""primary"": 5}",robust_consensus
function_2,5,0,5,1,0.2,0.716439-0.857645,1000,False,"{""no_input_warp"": 1, ""primary"": 4}",robust_consensus
function_3,5,0,5,1,0.2,0.003067-0.995270-0.997869,2002,False,"{""primary"": 5}",robust_consensus
function_4,5,0,5,1,0.2,0.393712-0.379306-0.391271-0.374477,3000,False,"{""primary"": 5}",robust_consensus
function_5,5,0,5,1,0.2,0.845847-0.999999-0.974543-0.999999,4000,False,"{""primary"": 5}",robust_consensus
function_6,5,0,5,1,0.2,0.899172-0.861979-0.007778-0.155002-0.702744,5000,False,"{""primary"": 5}",robust_consensus
function_7,5,0,5,1,0.2,0.114161-0.018033-0.748271-0.191120-0.296296-0.752669,6002,False,"{""primary"": 5}",robust_consensus
function_8,5,0,5,1,0.2,0.053492-0.010532-0.041476-0.036415-0.855385-0.514374-0.102282-0.748341,7001,False,"{""primary"": 5}",robust_consensus
