function,seed,status,portal_string,submission_score,mu_t,error_type,error_message
function_1,0,success,0.700759-0.750935,-9.069895281566554e-06,-1.4069895281566556e-05,,
function_1,1,success,0.722409-0.704649,-9.06989528156649e-06,-1.4069895281566491e-05,,
function_1,2,success,0.757256-0.711151,-9.069895281566344e-06,-1.4069895281566344e-05,,
function_1,3,success,0.732151-0.734743,-9.069895281566443e-06,-1.4069895281566444e-05,,
function_1,4,success,0.696685-0.773780,-9.069895281566561e-06,-1.4069895281566562e-05,,
function_2,0,success,0.716439-0.857645,0.5468048941096363,0.5265931752740967,,
function_2,1,success,0.777880-0.957315,0.28244717812958897,0.2823786736707603,,
function_2,2,success,0.745345-0.929629,0.2827628345600576,0.28237893061496555,,
function_2,3,success,0.783211-0.862263,0.3918732654618323,0.29360515544651716,,
function_2,4,success,0.657430-0.989427,0.28240362798629565,0.28237945793931873,,
function_3,0,success,0.012370-0.367194-0.999846,-0.7481135492969043,-0.824707352453661,,
function_3,1,success,0.846987-0.967142-0.996822,-0.752553148722235,-0.8185994417858343,,
function_3,2,success,0.003067-0.995270-0.997869,-0.7474261117995542,-0.8168696451902586,,
function_3,3,success,0.153717-0.977062-0.997247,-0.7504327118363435,-0.817534982311051,,
function_3,4,success,0.654119-0.350941-0.998983,-0.7633693171159327,-0.8462419108773953,,
function_4,0,success,0.393712-0.379306-0.391271-0.374477,0.8688414202947994,0.7338147821884338,,
function_4,1,success,0.409769-0.366095-0.355171-0.385870,0.7171184845197026,0.5832670463429324,,
function_4,2,success,0.351812-0.337461-0.361117-0.399129,0.4741561785669972,0.32900943792079573,,
function_4,3,success,0.398586-0.405757-0.368995-0.383611,0.7836146117820805,0.6661307972002337,,
function_4,4,success,0.385075-0.420803-0.382508-0.392805,0.7605847240247121,0.6468276315723394,,
function_5,0,success,0.845847-0.999999-0.974543-0.999999,12.580419352181023,12.288564630275541,,
function_5,1,success,0.315374-0.554331-0.783694-0.994686,10.735739058567308,9.862540699642823,,
function_5,2,success,0.866353-0.999999-0.999999-0.999999,6.056990809539969,6.056949384903046,,
function_5,3,success,0.052481-0.811571-0.255892-0.490760,6.056971546383448,6.056966546383448,,
function_5,4,success,0.859585-0.999999-0.999999-0.999999,6.056971731513322,6.056965797455165,,
function_6,0,success,0.899172-0.861979-0.007778-0.155002-0.702744,1.8702740962302686,1.8576444659147278,,
function_6,1,success,0.544682-0.996597-0.011449-0.087598-0.738251,1.7146530150509403,1.666956825154898,,
function_6,2,success,0.652390-0.961160-0.038270-0.143589-0.826393,1.5689593643550228,1.4823957408286952,,
function_6,3,success,0.992672-0.836520-0.011140-0.012029-0.351118,1.763316968490203,1.7131140967761167,,
function_6,4,success,0.631231-0.954332-0.009098-0.066072-0.825505,1.6854809610544568,1.5945724856098185,,
function_7,0,success,0.600165-0.023469-0.677141-0.182786-0.279235-0.759165,1.1992785126207648,1.1196159468386604,,
function_7,1,success,0.522350-0.149921-0.694551-0.246422-0.293148-0.777546,1.2082237106631792,1.1368435169247189,,
function_7,2,success,0.114161-0.018033-0.748271-0.191120-0.296296-0.752669,1.2124271778145268,1.1405344476870876,,
function_7,3,success,0.570351-0.448017-0.758170-0.442412-0.317807-0.759536,1.2015319471790982,1.137922039426209,,
function_7,4,success,0.199819-0.413382-0.593216-0.448769-0.304004-0.772736,1.2071602176062164,1.1404136738197872,,
function_8,0,success,0.032267-0.128268-0.108383-0.105193-0.883124-0.531102-0.031034-0.179983,9.21042901382469,9.204452518939261,,
function_8,1,success,0.053492-0.010532-0.041476-0.036415-0.855385-0.514374-0.102282-0.748341,9.217404567968552,9.211566140323288,,
function_8,2,success,0.072530-0.017478-0.107544-0.071427-0.895381-0.538507-0.047613-0.174038,9.21071595824077,9.204642798523851,,
function_8,3,success,0.060125-0.078581-0.109898-0.042316-0.894350-0.524905-0.013630-0.225778,9.211601435423958,9.205685586159893,,
function_8,4,success,0.028373-0.020106-0.107442-0.057451-0.861496-0.546419-0.031352-0.210608,9.211122428091615,9.204925577468968,,
